X [m],Y [m],Z [m]
0.0000,0.0000,0.1000
-0.0001,-0.0000,0.1000
-0.0001,-0.0001,0.1001
-0.0001,-0.0001,0.1001
0.0000,-0.0001,0.1001
0.0001,-0.0001,0.1001
0.0002,-0.0001,0.1000
0.0003,-0.0001,0.0999
0.0003,-0.0001,0.0998
0.0004,-0.0001,0.0997
0.0005,-0.0001,0.0996
0.0005,-0.0001,0.0995
0.0006,-0.0001,0.0994
0.0006,-0.0001,0.0993
0.0007,-0.0001,0.0991
0.0008,-0.0001,0.0990
0.0008,-0.0001,0.0989
0.0009,-0.0001,0.0988
0.0010,-0.0001,0.0986
0.0011,-0.0001,0.0985
0.0012,-0.0002,0.0984
0.0013,-0.0002,0.0982
0.0014,-0.0002,0.0981
0.0015,-0.0002,0.0980
0.0017,-0.0003,0.0978
0.0018,-0.0003,0.0977
0.0019,-0.0003,0.0976
0.0021,-0.0003,0.0974
0.0022,-0.0003,0.0973
0.0023,-0.0003,0.0972
0.0024,-0.0003,0.0971
0.0025,-0.0003,0.0969
0.0027,-0.0003,0.0968
0.0028,-0.0003,0.0967
0.0029,-0.0003,0.0966
0.0030,-0.0003,0.0965
0.0031,-0.0003,0.0964
0.0032,-0.0003,0.0963
0.0034,-0.0003,0.0962
0.0035,-0.0003,0.0961
0.0036,-0.0003,0.0960
0.0037,-0.0002,0.0960
0.0038,-0.0002,0.0959
0.0040,-0.0002,0.0958
0.0041,-0.0002,0.0957
0.0042,-0.0002,0.0957
0.0044,-0.0001,0.0956
0.0045,-0.0001,0.0956
0.0047,-0.0001,0.0955
0.0048,-0.0000,0.0955
0.0050,-0.0000,0.0955
0.0051,0.0000,0.0954
0.0053,0.0001,0.0954
0.0055,0.0001,0.0954
0.0056,0.0001,0.0953
0.0058,0.0001,0.0953
0.0060,0.0002,0.0953
0.0062,0.0002,0.0952
0.0064,0.0002,0.0952
0.0065,0.0003,0.0952
0.0067,0.0003,0.0952
0.0069,0.0003,0.0952
0.0071,0.0003,0.0951
0.0073,0.0003,0.0951
0.0075,0.0004,0.0951
0.0077,0.0004,0.0951
0.0079,0.0005,0.0950
0.0081,0.0005,0.0950
0.0083,0.0005,0.0950
0.0085,0.0005,0.0949
0.0087,0.0005,0.0949
0.0089,0.0005,0.0949
0.0092,0.0005,0.0948
0.0094,0.0006,0.0948
0.0096,0.0006,0.0948
0.0098,0.0007,0.0947
0.0100,0.0007,0.0947
0.0102,0.0007,0.0946
0.0105,0.0007,0.0946
0.0107,0.0007,0.0945
0.0109,0.0007,0.0945
0.0111,0.0007,0.0944
0.0113,0.0008,0.0944
0.0116,0.0008,0.0943
0.0118,0.0008,0.0943
0.0120,0.0009,0.0942
0.0123,0.0009,0.0942
0.0125,0.0009,0.0941
0.0127,0.0009,0.0941
0.0129,0.0009,0.0940
0.0132,0.0009,0.0939
0.0134,0.0009,0.0939
0.0136,0.0009,0.0938
0.0139,0.0010,0.0938
0.0141,0.0010,0.0937
0.0143,0.0010,0.0936
0.0146,0.0010,0.0936
0.0148,0.0010,0.0935
0.0150,0.0010,0.0934
0.0153,0.0010,0.0934
0.0155,0.0010,0.0933
0.0158,0.0011,0.0932
0.0160,0.0011,0.0932
0.0162,0.0012,0.0931
0.0165,0.0012,0.0930
0.0167,0.0012,0.0929
0.0170,0.0012,0.0929
0.0172,0.0012,0.0928
0.0174,0.0012,0.0927
0.0177,0.0012,0.0927
0.0179,0.0012,0.0926
0.0182,0.0013,0.0925
0.0184,0.0013,0.0924
0.0187,0.0013,0.0923
0.0189,0.0013,0.0923
0.0192,0.0013,0.0922
0.0194,0.0013,0.0921
0.0197,0.0013,0.0920
0.0199,0.0014,0.0920
0.0202,0.0014,0.0919
0.0204,0.0014,0.0918
0.0207,0.0015,0.0917
0.0209,0.0015,0.0916
0.0212,0.0015,0.0915
0.0214,0.0015,0.0915
0.0217,0.0015,0.0914
0.0219,0.0015,0.0913
0.0222,0.0015,0.0912
0.0224,0.0015,0.0911
0.0227,0.0016,0.0910
0.0229,0.0016,0.0910
0.0232,0.0016,0.0909
0.0234,0.0016,0.0908
0.0237,0.0016,0.0907
0.0239,0.0016,0.0906
0.0242,0.0016,0.0905
0.0244,0.0017,0.0904
0.0247,0.0017,0.0903
0.0249,0.0017,0.0902
0.0252,0.0017,0.0901
0.0254,0.0018,0.0900
0.0257,0.0018,0.0899
0.0260,0.0017,0.0899
0.0262,0.0017,0.0898
0.0265,0.0018,0.0897
0.0267,0.0018,0.0896
0.0270,0.0018,0.0895
0.0272,0.0019,0.0894
0.0275,0.0019,0.0893
0.0277,0.0019,0.0891
0.0280,0.0019,0.0890
0.0283,0.0019,0.0889
0.0285,0.0019,0.0888
0.0288,0.0019,0.0887
0.0290,0.0019,0.0886
0.0293,0.0020,0.0885
0.0296,0.0020,0.0884
0.0298,0.0020,0.0883
0.0301,0.0020,0.0882
0.0304,0.0020,0.0881
0.0306,0.0020,0.0880
0.0309,0.0020,0.0878
0.0311,0.0020,0.0877
0.0314,0.0021,0.0876
0.0317,0.0021,0.0875
0.0319,0.0021,0.0874
0.0322,0.0022,0.0873
0.0325,0.0022,0.0872
0.0327,0.0022,0.0870
0.0330,0.0021,0.0869
0.0332,0.0021,0.0868
0.0335,0.0022,0.0867
0.0338,0.0022,0.0866
0.0340,0.0022,0.0865
0.0343,0.0023,0.0863
0.0346,0.0023,0.0862
0.0348,0.0023,0.0861
0.0351,0.0023,0.0860
0.0354,0.0023,0.0859
0.0356,0.0023,0.0858
0.0359,0.0023,0.0857
0.0362,0.0023,0.0855
0.0364,0.0024,0.0854
0.0367,0.0024,0.0853
0.0370,0.0024,0.0852
0.0372,0.0024,0.0851
0.0375,0.0024,0.0850
0.0378,0.0024,0.0849
0.0381,0.0024,0.0848
0.0383,0.0024,0.0847
0.0386,0.0024,0.0846
0.0389,0.0025,0.0845
0.0392,0.0025,0.0844
