X [m],Y [m],Z [m]
0.0000,0.0000,0.1000
-0.0002,-0.0000,0.1001
-0.0002,-0.0001,0.1002
-0.0002,-0.0001,0.1003
-0.0000,-0.0001,0.1003
0.0001,-0.0001,0.1003
0.0002,-0.0001,0.1002
0.0003,-0.0001,0.1001
0.0004,-0.0001,0.1000
0.0005,-0.0001,0.0999
0.0006,-0.0001,0.0998
0.0007,-0.0000,0.0997
0.0008,-0.0000,0.0996
0.0009,-0.0000,0.0995
0.0010,-0.0000,0.0994
0.0012,-0.0000,0.0994
0.0013,-0.0001,0.0994
0.0015,-0.0001,0.0994
0.0017,-0.0001,0.0994
0.0019,-0.0002,0.0994
0.0022,-0.0002,0.0995
0.0024,-0.0002,0.0996
0.0027,-0.0002,0.0997
0.0029,-0.0002,0.0998
0.0032,-0.0001,0.1000
0.0035,-0.0001,0.1002
0.0037,-0.0000,0.1004
0.0039,-0.0000,0.1006
0.0042,-0.0000,0.1007
0.0044,0.0000,0.1009
0.0047,0.0001,0.1011
0.0050,0.0001,0.1013
0.0052,0.0002,0.1015
0.0055,0.0003,0.1016
0.0058,0.0004,0.1018
0.0060,0.0004,0.1019
0.0063,0.0004,0.1021
0.0065,0.0004,0.1022
0.0068,0.0005,0.1023
0.0070,0.0006,0.1024
0.0073,0.0007,0.1025
0.0075,0.0007,0.1026
0.0077,0.0008,0.1027
0.0079,0.0009,0.1028
0.0082,0.0009,0.1029
0.0084,0.0009,0.1029
0.0086,0.0009,0.1030
0.0088,0.0009,0.1031
0.0090,0.0010,0.1031
0.0092,0.0011,0.1032
0.0094,0.0012,0.1032
0.0097,0.0012,0.1033
0.0099,0.0012,0.1033
0.0101,0.0012,0.1034
0.0103,0.0012,0.1034
0.0105,0.0012,0.1035
0.0108,0.0013,0.1035
0.0110,0.0013,0.1035
0.0112,0.0014,0.1036
0.0114,0.0015,0.1036
0.0116,0.0015,0.1037
0.0118,0.0015,0.1037
0.0121,0.0014,0.1037
0.0123,0.0014,0.1038
0.0125,0.0014,0.1038
0.0127,0.0014,0.1039
0.0130,0.0015,0.1039
0.0132,0.0016,0.1039
0.0134,0.0016,0.1040
0.0136,0.0016,0.1040
0.0139,0.0016,0.1040
0.0141,0.0016,0.1041
0.0143,0.0015,0.1041
0.0145,0.0015,0.1041
0.0148,0.0016,0.1042
0.0150,0.0016,0.1042
0.0153,0.0017,0.1042
0.0155,0.0017,0.1042
0.0157,0.0017,0.1043
0.0160,0.0017,0.1043
0.0162,0.0017,0.1043
0.0164,0.0016,0.1044
0.0167,0.0016,0.1044
0.0169,0.0016,0.1044
0.0172,0.0017,0.1044
0.0174,0.0018,0.1044
0.0176,0.0018,0.1045
0.0179,0.0018,0.1045
0.0181,0.0018,0.1045
0.0184,0.0017,0.1045
0.0186,0.0017,0.1045
0.0189,0.0017,0.1045
0.0191,0.0017,0.1046
0.0193,0.0018,0.1046
0.0196,0.0018,0.1046
0.0198,0.0018,0.1046
0.0201,0.0018,0.1046
0.0203,0.0018,0.1046
0.0206,0.0018,0.1046
0.0208,0.0017,0.1046
0.0211,0.0017,0.1046
0.0213,0.0017,0.1046
0.0216,0.0018,0.1046
0.0218,0.0018,0.1046
0.0221,0.0019,0.1046
0.0223,0.0019,0.1046
0.0226,0.0018,0.1046
0.0228,0.0018,0.1046
0.0231,0.0018,0.1046
0.0234,0.0018,0.1046
0.0236,0.0018,0.1046
0.0239,0.0018,0.1046
0.0241,0.0019,0.1046
0.0244,0.0019,0.1046
0.0246,0.0019,0.1046
0.0249,0.0019,0.1046
0.0252,0.0018,0.1046
0.0254,0.0018,0.1046
0.0257,0.0018,0.1045
0.0259,0.0018,0.1045
0.0262,0.0019,0.1045
0.0264,0.0019,0.1045
0.0267,0.0020,0.1045
0.0270,0.0020,0.1045
0.0272,0.0019,0.1044
0.0275,0.0019,0.1044
0.0277,0.0019,0.1044
0.0280,0.0018,0.1044
0.0283,0.0019,0.1044
0.0285,0.0019,0.1043
0.0288,0.0020,0.1043
0.0291,0.0020,0.1043
0.0293,0.0020,0.1043
0.0296,0.0020,0.1042
0.0298,0.0019,0.1042
0.0301,0.0019,0.1042
0.0304,0.0019,0.1042
0.0306,0.0019,0.1041
0.0309,0.0019,0.1041
0.0311,0.0020,0.1041
0.0314,0.0020,0.1040
0.0317,0.0020,0.1040
0.0319,0.0020,0.1040
0.0322,0.0019,0.1039
0.0325,0.0019,0.1039
0.0327,0.0019,0.1038
0.0330,0.0019,0.1038
0.0333,0.0020,0.1038
0.0335,0.0020,0.1037
0.0338,0.0021,0.1037
0.0341,0.0021,0.1036
0.0343,0.0020,0.1036
0.0346,0.0020,0.1035
0.0348,0.0020,0.1035
0.0351,0.0020,0.1034
0.0354,0.0020,0.1034
0.0356,0.0021,0.1034
0.0359,0.0021,0.1033
0.0362,0.0021,0.1032
0.0364,0.0021,0.1032
0.0367,0.0021,0.1031
0.0370,0.0021,0.1031
0.0372,0.0020,0.1030
0.0375,0.0020,0.1030
0.0378,0.0021,0.1029
0.0380,0.0021,0.1029
0.0383,0.0022,0.1028
0.0386,0.0022,0.1028
0.0388,0.0022,0.1027
0.0391,0.0022,0.1026
0.0394,0.0021,0.1026
0.0396,0.0021,0.1025
0.0399,0.0021,0.1025
0.0402,0.0021,0.1024
0.0404,0.0022,0.1023
0.0407,0.0022,0.1023
0.0409,0.0023,0.1022
0.0412,0.0023,0.1021
0.0415,0.0022,0.1021
0.0417,0.0022,0.1020
0.0420,0.0022,0.1019
0.0423,0.0022,0.1019
0.0425,0.0022,0.1018
0.0428,0.0023,0.1017
0.0431,0.0023,0.1016
0.0433,0.0023,0.1016
0.0436,0.0023,0.1015
0.0439,0.0023,0.1014
0.0441,0.0023,0.1013
0.0444,0.0022,0.1013
0.0447,0.0023,0.1012
0.0449,0.0023,0.1011
0.0452,0.0023,0.1010
0.0455,0.0024,0.1009
0.0457,0.0024,0.1009
0.0460,0.0024,0.1008
0.0463,0.0024,0.1007
0.0465,0.0023,0.1006
0.0468,0.0023,0.1005
0.0471,0.0023,0.1004
0.0473,0.0023,0.1003
0.0476,0.0024,0.1003
0.0479,0.0024,0.1002
0.0481,0.0025,0.1001
0.0484,0.0025,0.1000
0.0487,0.0025,0.0999
0.0489,0.0024,0.0998
0.0492,0.0024,0.0997
0.0494,0.0024,0.0996
0.0497,0.0024,0.0996
