X [m],Y [m],Z [m]
0.0000,0.0000,0.1000
-0.0002,-0.0000,0.1001
-0.0002,-0.0001,0.1002
-0.0002,-0.0001,0.1003
-0.0000,-0.0001,0.1003
0.0001,-0.0001,0.1003
0.0002,-0.0001,0.1002
0.0003,-0.0001,0.1001
0.0004,-0.0001,0.1000
0.0005,-0.0001,0.0999
0.0006,-0.0001,0.0998
0.0007,-0.0001,0.0996
0.0007,-0.0001,0.0995
0.0008,-0.0001,0.0993
0.0009,-0.0001,0.0991
0.0009,-0.0001,0.0990
0.0010,-0.0001,0.0988
0.0010,-0.0001,0.0987
0.0011,-0.0002,0.0985
0.0012,-0.0002,0.0983
0.0012,-0.0002,0.0981
0.0013,-0.0002,0.0980
0.0014,-0.0002,0.0978
0.0015,-0.0002,0.0976
0.0016,-0.0003,0.0974
0.0017,-0.0003,0.0972
0.0018,-0.0003,0.0971
0.0019,-0.0003,0.0969
0.0020,-0.0004,0.0967
0.0021,-0.0004,0.0965
0.0022,-0.0004,0.0964
0.0023,-0.0004,0.0962
0.0024,-0.0004,0.0960
0.0025,-0.0004,0.0958
0.0026,-0.0004,0.0957
0.0028,-0.0004,0.0955
0.0029,-0.0004,0.0954
0.0030,-0.0004,0.0952
0.0031,-0.0004,0.0950
0.0032,-0.0004,0.0949
0.0033,-0.0004,0.0948
0.0034,-0.0004,0.0946
0.0035,-0.0004,0.0945
0.0037,-0.0003,0.0943
0.0038,-0.0003,0.0942
0.0039,-0.0003,0.0941
0.0040,-0.0003,0.0940
0.0042,-0.0003,0.0939
0.0043,-0.0002,0.0938
0.0044,-0.0002,0.0936
0.0045,-0.0002,0.0935
0.0047,-0.0002,0.0934
0.0048,-0.0001,0.0933
0.0050,-0.0001,0.0933
0.0051,-0.0000,0.0932
0.0053,-0.0000,0.0931
0.0054,0.0000,0.0930
0.0056,0.0001,0.0929
0.0057,0.0001,0.0929
0.0059,0.0002,0.0928
0.0061,0.0002,0.0927
0.0062,0.0002,0.0927
0.0064,0.0003,0.0926
0.0066,0.0003,0.0925
0.0068,0.0004,0.0925
0.0069,0.0004,0.0924
0.0071,0.0005,0.0924
0.0073,0.0005,0.0923
0.0075,0.0005,0.0923
0.0077,0.0006,0.0922
0.0079,0.0006,0.0922
0.0081,0.0007,0.0921
0.0083,0.0007,0.0921
0.0085,0.0007,0.0921
0.0087,0.0008,0.0920
0.0089,0.0008,0.0920
0.0091,0.0008,0.0919
0.0093,0.0009,0.0919
0.0095,0.0009,0.0919
0.0097,0.0009,0.0918
0.0100,0.0009,0.0918
0.0102,0.0010,0.0917
0.0104,0.0010,0.0917
0.0106,0.0010,0.0916
0.0108,0.0010,0.0916
0.0111,0.0011,0.0916
0.0113,0.0011,0.0915
0.0115,0.0011,0.0915
0.0117,0.0011,0.0914
0.0119,0.0012,0.0914
0.0122,0.0012,0.0913
0.0124,0.0012,0.0913
0.0126,0.0012,0.0913
0.0128,0.0012,0.0912
0.0131,0.0012,0.0912
0.0133,0.0013,0.0911
0.0135,0.0013,0.0911
0.0138,0.0013,0.0910
0.0140,0.0013,0.0910
0.0142,0.0013,0.0909
0.0144,0.0013,0.0909
0.0147,0.0013,0.0908
0.0149,0.0014,0.0908
0.0151,0.0014,0.0907
0.0154,0.0014,0.0907
0.0156,0.0014,0.0906
0.0158,0.0014,0.0906
0.0161,0.0014,0.0905
0.0163,0.0014,0.0904
0.0165,0.0014,0.0904
0.0168,0.0015,0.0903
0.0170,0.0015,0.0902
0.0172,0.0015,0.0902
0.0175,0.0015,0.0901
0.0177,0.0015,0.0901
0.0180,0.0015,0.0900
0.0182,0.0015,0.0899
0.0184,0.0015,0.0898
0.0187,0.0015,0.0898
0.0189,0.0016,0.0897
0.0191,0.0016,0.0896
0.0194,0.0016,0.0896
0.0196,0.0016,0.0895
0.0199,0.0016,0.0894
0.0201,0.0016,0.0893
0.0203,0.0016,0.0893
0.0206,0.0016,0.0892
0.0208,0.0017,0.0891
0.0211,0.0017,0.0890
0.0213,0.0017,0.0889
0.0216,0.0017,0.0889
0.0218,0.0017,0.0888
0.0220,0.0017,0.0887
0.0223,0.0017,0.0886
0.0225,0.0017,0.0885
0.0228,0.0017,0.0884
0.0230,0.0018,0.0884
0.0233,0.0018,0.0883
0.0235,0.0018,0.0882
0.0237,0.0018,0.0881
0.0240,0.0018,0.0880
0.0242,0.0018,0.0879
0.0245,0.0018,0.0878
0.0247,0.0018,0.0877
0.0250,0.0018,0.0876
0.0252,0.0019,0.0875
0.0255,0.0019,0.0875
0.0257,0.0019,0.0874
0.0260,0.0019,0.0873
0.0262,0.0019,0.0872
0.0265,0.0019,0.0871
0.0267,0.0019,0.0870
0.0270,0.0019,0.0869
0.0272,0.0019,0.0868
0.0275,0.0020,0.0867
0.0277,0.0020,0.0866
0.0280,0.0020,0.0865
0.0282,0.0020,0.0864
0.0285,0.0020,0.0863
0.0287,0.0020,0.0862
0.0290,0.0020,0.0861
0.0292,0.0020,0.0860
0.0295,0.0020,0.0859
0.0297,0.0021,0.0858
0.0300,0.0021,0.0857
0.0302,0.0021,0.0855
0.0305,0.0021,0.0854
0.0307,0.0021,0.0853
0.0310,0.0021,0.0852
0.0312,0.0021,0.0851
0.0315,0.0021,0.0850
0.0317,0.0021,0.0849
0.0320,0.0021,0.0848
0.0322,0.0022,0.0847
0.0325,0.0022,0.0846
0.0328,0.0022,0.0845
0.0330,0.0022,0.0844
0.0333,0.0022,0.0843
0.0335,0.0022,0.0842
0.0338,0.0022,0.0841
0.0340,0.0022,0.0840
0.0343,0.0022,0.0839
0.0346,0.0022,0.0838
0.0348,0.0022,0.0837
0.0351,0.0022,0.0836
0.0354,0.0022,0.0835
0.0356,0.0022,0.0834
0.0359,0.0022,0.0833
0.0361,0.0022,0.0832
0.0364,0.0022,0.0831
0.0367,0.0022,0.0830
0.0369,0.0022,0.0829
0.0372,0.0022,0.0828
0.0375,0.0022,0.0827
0.0377,0.0022,0.0826
0.0380,0.0022,0.0826
0.0383,0.0021,0.0825
0.0385,0.0021,0.0824
0.0388,0.0021,0.0823
0.0391,0.0021,0.0822
0.0393,0.0021,0.0822
0.0396,0.0021,0.0821
0.0399,0.0021,0.0820
0.0402,0.0021,0.0820
0.0404,0.0021,0.0819
0.0407,0.0021,0.0819
0.0410,0.0020,0.0818
0.0412,0.0020,0.0817
